n,r,m
(:Entity {name: BHADRACHARU}),[:REL {type: Son Of}],(:Entity {name: Krishna})
(:Entity {name: BHADRACHARU}),[:REL {type: Son Of}],(:Entity {name: Rukmini})
(:Entity {name: Rukmini}),[:REL {type: mother}],(:Entity {name: Pradyumna})
(:Entity {name: Bharata 1}),[:REL {type: Associated With}],(:Entity {name: Viswamitra})
(:Entity {name: Bharata 1}),[:REL {type: Ancestor Of}],(:Entity {name: Bharatas})
(:Entity {name: Viswamitra}),[:REL {type: Cursed}],(:Entity {name: Vasishtha})
(:Entity {name: Viswamitra}),[:REL {type: Taught Hymns To}],(:Entity {name: Sunahsephas})
(:Entity {name: Viswamitra}),[:REL {type: Father Of}],(:Entity {name: Sunahsephas})
(:Entity {name: Viswamitra}),[:REL {type: Son of}],(:Entity {name: Satyavati})
(:Entity {name: Viswamitra}),[:REL {type: Son of}],(:Entity {name: Gadhi})
(:Entity {name: Viswamitra}),[:REL {type: Amour with}],(:Entity {name: Rambha})
(:Entity {name: Viswamitra}),[:REL {type: Cursed}],(:Entity {name: Sons Of Vasishtha})
(:Entity {name: Viswamitra}),[:REL {type: Son of}],(:Entity {name: Kusika})
(:Entity {name: Viswamitra}),[:REL {type: Son of}],(:Entity {name: Gathin})
(:Entity {name: Viswamitra}),[:REL {type: Also known as}],(:Entity {name: Gadhija})
(:Entity {name: Viswamitra}),[:REL {type: Also known as}],(:Entity {name: Gadhinandana})
(:Entity {name: Viswamitra}),[:REL {type: Amour with}],(:Entity {name: Menaka})
(:Entity {name: Bharata 2}),[:REL {type: Devotee Of}],(:Entity {name: Vishnu})
(:Entity {name: Bharata 3}),[:REL {type: Half-Brother Of}],(:Entity {name: Rama})
(:Entity {name: Bharata 3}),[:REL {type: Son Of}],(:Entity {name: Dasaratha})
(:Entity {name: Bharata 3}),[:REL {type: Son Of}],(:Entity {name: Kaikeyi})
(:Entity {name: Bharata 3}),[:REL {type: Educated By}],(:Entity {name: Aswapati})
(:Entity {name: Bharata 3}),[:REL {type: Husband Of}],(:Entity {name: Mandavi})
(:Entity {name: Kaikeyi}),[:REL {type: son}],(:Entity {name: Bharata})
(:Entity {name: Aswapati}),[:REL {type: Father Of}],(:Entity {name: Kaikeyi})
(:Entity {name: Mandavi}),[:REL {type: Cousin Of}],(:Entity {name: Sita})
(:Entity {name: Bharata 4}),[:REL {type: Son Of}],(:Entity {name: Sakuntala})
(:Entity {name: Bharata 4}),[:REL {type: Son Of}],(:Entity {name: Dushyanta})
(:Entity {name: Kuru}),[:REL {type: Descendant Of}],(:Entity {name: Bharata 4})
(:Entity {name: Kuru}),[:REL {type: Son Of}],(:Entity {name: Samvarana and Tapati})
(:Entity {name: Santanu}),[:REL {type: Descendant Of}],(:Entity {name: Kuru})
(:Entity {name: Santanu}),[:REL {type: Married}],(:Entity {name: Satyavati})
(:Entity {name: Vichitravirya}),[:REL {type: Son Of}],(:Entity {name: Santanu})
(:Entity {name: Vichitravirya}),[:REL {type: Son of}],(:Entity {name: Satyavati})
(:Entity {name: Vichitravirya}),[:REL {type: Son of}],(:Entity {name: King Santanu})
(:Entity {name: Krishna Dwaipayana}),[:REL {type: Brother Of}],(:Entity {name: Vichitravirya})
(:Entity {name: Krishna Dwaipayana}),[:REL {type: Son Of}],(:Entity {name: Satyavati})
(:Entity {name: Pandavas}),[:REL {type: Served}],(:Entity {name: Virata})
(:Entity {name: Pandavas}),[:REL {type: Captured}],(:Entity {name: Drupada})
(:Entity {name: Pandavas}),[:REL {type: Rescued}],(:Entity {name: Duryodhana})
(:Entity {name: Pandavas}),[:REL {type: Descendants Of}],(:Entity {name: Bharata 4})
(:Entity {name: Pandavas}),[:REL {type: Exiled due to}],(:Entity {name: Dice game})
(:Entity {name: Kauravas}),[:REL {type: Attacked}],(:Entity {name: Drupada})
(:Entity {name: Kauravas}),[:REL {type: Descendants Of}],(:Entity {name: Bharata 4})
(:Entity {name: BHARGAVA}),[:REL {type: Descendant Of}],(:Entity {name: Bhrigu})
(:Entity {name: BHARTRTLHARIL}),[:REL {type: Brother Of}],(:Entity {name: Vikramaditya})
(:Entity {name: BHARTRTLHARIL}),[:REL {type: Called}],(:Entity {name: Vakyapadiya})
(:Entity {name: Vikramaditya}),[:REL {type: Reign At}],(:Entity {name: Ujjayini})
(:Entity {name: Vikramaditya}),[:REL {type: Identity}],(:Entity {name: Celebrated Hindu King})
(:Entity {name: Vikramaditya}),[:REL {type: Son of}],(:Entity {name: Gardabhila})
(:Entity {name: Vikramaditya}),[:REL {type: Killed by}],(:Entity {name: Salivahana})
(:Entity {name: BHAVA}),[:REL {type: Also Known As}],(:Entity {name: Srikantha})
(:Entity {name: Vaka}),[:REL {type: Type}],(:Entity {name: Asura})
(:Entity {name: Vaka}),[:REL {type: Also Known As}],(:Entity {name: Kuvera})
(:Entity {name: Vaka}),[:REL {type: Fought With}],(:Entity {name: Bhima})
(:Entity {name: Vaka}),[:REL {type: Lived Near}],(:Entity {name: Eka-chakra})
(:Entity {name: Kichaka}),[:REL {type: Brother-In-Law Of}],(:Entity {name: Virata})
(:Entity {name: Kichaka}),[:REL {type: Harassed}],(:Entity {name: Draupadi})
(:Entity {name: Kichaka}),[:REL {type: Brother Of}],(:Entity {name: Queen of Virata})
(:Entity {name: Duhsasana}),[:REL {type: Son Of}],(:Entity {name: Dhritarashtra})
(:Entity {name: Duhsasana}),[:REL {type: Dragged}],(:Entity {name: Draupadi})
(:Entity {name: Duhsasana}),[:REL {type: Abused}],(:Entity {name: Draupadi})
(:Entity {name: Yudhishthira}),[:REL {type: Brother of}],(:Entity {name: Arjuna})
(:Entity {name: Yudhishthira}),[:REL {type: Succeeded by}],(:Entity {name: Parikshit})
(:Entity {name: Yudhishthira}),[:REL {type: Followed}],(:Entity {name: Krishna})
(:Entity {name: Yudhishthira}),[:REL {type: Nephew of}],(:Entity {name: Dhritarashtra})
(:Entity {name: Yudhishthira}),[:REL {type: Trained by}],(:Entity {name: Drona})
(:Entity {name: Yudhishthira}),[:REL {type: Assisted in death of}],(:Entity {name: Drona})
(:Entity {name: Yudhishthira}),[:REL {type: Husband Of}],(:Entity {name: Draupadi})
(:Entity {name: Yudhishthira}),[:REL {type: Brother Of}],(:Entity {name: Bhima})
(:Entity {name: Yudhishthira}),[:REL {type: Brother of}],(:Entity {name: Bhima})
(:Entity {name: Yudhishthira}),[:REL {type: Fought}],(:Entity {name: Kauravas})
(:Entity {name: Yudhishthira}),[:REL {type: Brother of}],(:Entity {name: Nakula})
(:Entity {name: Yudhishthira}),[:REL {type: Brother of}],(:Entity {name: Sahadeva})
(:Entity {name: Yudhishthira}),[:REL {type: Son of}],(:Entity {name: Dharma})
(:Entity {name: Yudhishthira}),[:REL {type: Father of}],(:Entity {name: Yaudheya})
(:Entity {name: Yudhishthira}),[:REL {type: Performed}],(:Entity {name: Rajasuya sacrifice})
(:Entity {name: Yudhishthira}),[:REL {type: Performed}],(:Entity {name: Aswamedha sacrifice})
(:Entity {name: Balandhara}),[:REL {type: Daughter Of}],(:Entity {name: King of Kasi})
(:Entity {name: Ganga}),[:REL {type: Unites With}],(:Entity {name: Yamuna})
(:Entity {name: Ganga}),[:REL {type: Unites With}],(:Entity {name: Saraswati})
(:Entity {name: Satyavati}),[:REL {type: Mother Of}],(:Entity {name: Vyasa})
(:Entity {name: Satyavati}),[:REL {type: Daughter of}],(:Entity {name: Gadhi})
(:Entity {name: Satyavati}),[:REL {type: Daughter Of}],(:Entity {name: Uparichara})
(:Entity {name: Satyavati}),[:REL {type: Daughter Of}],(:Entity {name: Adrika})
(:Entity {name: Talaketu}),[:REL {type: Killed By}],(:Entity {name: Krishna})
(:Entity {name: Talaketu}),[:REL {type: Is A Name Of}],(:Entity {name: Bhishma})
(:Entity {name: BHISHMAKA}),[:REL {type: Wife Of}],(:Entity {name: Krishna})
(:Entity {name: BHISHMAKA}),[:REL {type: Father Of}],(:Entity {name: Rukmin})
(:Entity {name: BHISHMAKA}),[:REL {type: King Of}],(:Entity {name: Vidarbha})
(:Entity {name: Vidarbha}),[:REL {type: Capital}],(:Entity {name: Kundina-pura})
(:Entity {name: BHOJA}),[:REL {type: King Of}],(:Entity {name: Dhar})
(:Entity {name: BHUVANESWARA}),[:REL {type: Called}],(:Entity {name: Ekamrakanana})
(:Entity {name: BRAHMA}),[:REL {type: Called}],(:Entity {name: Brahma})
(:Entity {name: BRAHMA}),[:REL {type: Incarnation Of}],(:Entity {name: Vishnu})
(:Entity {name: BRAHMA}),[:REL {type: Manifestation Of}],(:Entity {name: Vishnu})
(:Entity {name: BRAHMA}),[:REL {type: Father Of}],(:Entity {name: Daksha})
(:Entity {name: BRAHMA}),[:REL {type: Father Of}],(:Entity {name: Marichi})
(:Entity {name: BRAHMA}),[:REL {type: Called}],(:Entity {name: Narayana})
(:Entity {name: BRAHMA}),[:REL {type: Called}],(:Entity {name: Kalahansa})
(:Entity {name: BRAHMA}),[:REL {type: Called}],(:Entity {name: Chatur-anana})
(:Entity {name: BRAHMA}),[:REL {type: Called}],(:Entity {name: Brahmi})
(:Entity {name: BRAHMA}),[:REL {type: Called}],(:Entity {name: Hansa-vahana})
(:Entity {name: BRAHMA}),[:REL {type: Called}],(:Entity {name: Brahma-vrinda})
(:Entity {name: BRAHMA}),[:REL {type: Called}],(:Entity {name: Nabhi-ja})
(:Entity {name: BRAHMA}),[:REL {type: Called}],(:Entity {name: Sanat-kumara})
(:Entity {name: BRAHMA}),[:REL {type: Called}],(:Entity {name: Vidhi})
(:Entity {name: BRAHMA}),[:REL {type: Named}],(:Entity {name: Vach})
(:Entity {name: Vach}),[:REL {type: Daughter Of}],(:Entity {name: Brahma})
(:Entity {name: Vach}),[:REL {type: Wife Of}],(:Entity {name: Brahma})
(:Entity {name: Vach}),[:REL {type: Daughter Of}],(:Entity {name: Daksha})
(:Entity {name: Vach}),[:REL {type: Wife Of}],(:Entity {name: Kasyapa})
(:Entity {name: Vach}),[:REL {type: Wife Of}],(:Entity {name: Indra})
(:Entity {name: Vach}),[:REL {type: Mother Of}],(:Entity {name: Vedas})
(:Entity {name: Vach}),[:REL {type: Mother Of}],(:Entity {name: Gandharvas})
(:Entity {name: Vach}),[:REL {type: Daughter Of}],(:Entity {name: Kama})
(:Entity {name: Vach}),[:REL {type: Associated With}],(:Entity {name: Prajapati})
(:Entity {name: Vach}),[:REL {type: Mother Of}],(:Entity {name: Apsarases})
(:Entity {name: Vach}),[:REL {type: Identified With}],(:Entity {name: Viraj})
(:Entity {name: Vach}),[:REL {type: Identified With}],(:Entity {name: Saraswati})
(:Entity {name: BRAHMANA}),[:REL {type: Called}],(:Entity {name: Aswalayana})
(:Entity {name: BRAHMANA}),[:REL {type: Called}],(:Entity {name: Kaushitaki})
(:Entity {name: BRAHMANA}),[:REL {type: Called}],(:Entity {name: Aranyakas})
(:Entity {name: BRAHMANDA PURANA}),[:REL {type: Daughter Of}],(:Entity {name: Brahma})
(:Entity {name: BRAHMA SUTRAS}),[:REL {type: Called}],(:Entity {name: Brahma})
(:Entity {name: BRAHMAVARTTA}),[:REL {type: Named}],(:Entity {name: Brahmavartta})
(:Entity {name: BUDHA}),[:REL {type: Incarnation Of}],(:Entity {name: Krishna})
(:Entity {name: BUDHA}),[:REL {type: Wife Of}],(:Entity {name: Brihaspati})
(:Entity {name: BUDHA}),[:REL {type: Son Of}],(:Entity {name: Soma})
(:Entity {name: BUDHA}),[:REL {type: Called}],(:Entity {name: Praharshana})
(:Entity {name: Soma}),[:REL {type: Son of}],(:Entity {name: Anasuya})
(:Entity {name: Soma}),[:REL {type: Husband of}],(:Entity {name: Rohini})
(:Entity {name: Soma}),[:REL {type: Abducted}],(:Entity {name: Tara})
(:Entity {name: Soma}),[:REL {type: Also Known As}],(:Entity {name: Chandra})
(:Entity {name: Soma}),[:REL {type: Son of}],(:Entity {name: Atri})
(:Entity {name: Soma}),[:REL {type: Father of}],(:Entity {name: Budha})
(:Entity {name: Soma}),[:REL {type: Married}],(:Entity {name: 27 Daughters of Daksha})
(:Entity {name: Soma}),[:REL {type: Also Known As}],(:Entity {name: Indu})
(:Entity {name: Soma}),[:REL {type: Also Known As}],(:Entity {name: Sasi})
(:Entity {name: Soma}),[:REL {type: Also Known As}],(:Entity {name: Nisakara})
(:Entity {name: Soma}),[:REL {type: Also Known As}],(:Entity {name: Nakshatranatha})
(:Entity {name: Soma}),[:REL {type: Also Known As}],(:Entity {name: Sitamarichi})
(:Entity {name: Soma}),[:REL {type: Also Known As}],(:Entity {name: Sitansu})
(:Entity {name: Soma}),[:REL {type: Also Known As}],(:Entity {name: Mriganka})
(:Entity {name: Soma}),[:REL {type: Also Known As}],(:Entity {name: Sivasekhara})
(:Entity {name: Soma}),[:REL {type: Also Known As}],(:Entity {name: Kumudapati})
(:Entity {name: Soma}),[:REL {type: Also Known As}],(:Entity {name: Swetavaji})
(:Entity {name: CHAMPA}),[:REL {type: Son Of}],(:Entity {name: Prithulaksha})
(:Entity {name: CHAMPA}),[:REL {type: Descendant Of}],(:Entity {name: Yayati})
(:Entity {name: CHAMPA}),[:REL {type: Called}],(:Entity {name: Malini})
(:Entity {name: Yayati}),[:REL {type: Wife of}],(:Entity {name: Sarmishtha})
(:Entity {name: Yayati}),[:REL {type: Son of}],(:Entity {name: Nahusha})
(:Entity {name: Yayati}),[:REL {type: Restored youth to}],(:Entity {name: Puru})
(:Entity {name: Yayati}),[:REL {type: Wife of}],(:Entity {name: Devayani})
(:Entity {name: Yayati}),[:REL {type: Retired with}],(:Entity {name: Wife})
(:Entity {name: Yayati}),[:REL {type: Title}],(:Entity {name: Rajarshi})
(:Entity {name: Malini}),[:REL {type: Mother of}],(:Entity {name: Vibhishana})
(:Entity {name: CHANAKYA}),[:REL {type: Called}],(:Entity {name: Chanakya})
(:Entity {name: CHANAKYA}),[:REL {type: Called}],(:Entity {name: Mudra-})
(:Entity {name: CHANDA}),[:REL {type: Called}],(:Entity {name: Mahisha})
(:Entity {name: CHANDRA}),[:REL {type: Son Of}],(:Entity {name: Lakshmana})
(:Entity {name: CHANDRA}),[:REL {type: Called}],(:Entity {name: Erranaboas})
(:Entity {name: CHANDRA}),[:REL {type: Called}],(:Entity {name: Mauryas})
(:Entity {name: CHANDRA}),[:REL {type: Called}],(:Entity {name: Manichaka})
(:Entity {name: CHANDRA}),[:REL {type: Named}],(:Entity {name: Mahapadma})
(:Entity {name: CHANDRA}),[:REL {type: Named}],(:Entity {name: Mura})
(:Entity {name: CHARVAKA}),[:REL {type: Friend Of}],(:Entity {name: Dur-yodhana})
(:Entity {name: CHEKITANA}),[:REL {type: Son Of}],(:Entity {name: Dhrishta-ketu})
(:Entity {name: Dhrishta-ketu}),[:REL {type: Ally Of}],(:Entity {name: Pandavas})
(:Entity {name: Dhrishta-ketu}),[:REL {type: Son Of}],(:Entity {name: Sisupala})
(:Entity {name: Dhrishta-ketu}),[:REL {type: Son Of}],(:Entity {name: Dhrishta-dyumna})
(:Entity {name: Dhrishta-ketu}),[:REL {type: King Of}],(:Entity {name: Kekayas})
(:Entity {name: Dhrishta-ketu}),[:REL {type: Son Of}],(:Entity {name: Satyadhriti})
(:Entity {name: Dhrishta-ketu}),[:REL {type: Son Of}],(:Entity {name: Nriga})
(:Entity {name: CHHAYA}),[:REL {type: Mother Of}],(:Entity {name: Yama})
(:Entity {name: CHHAYA}),[:REL {type: Son Of}],(:Entity {name: Sanjna})
(:Entity {name: CHHAYA}),[:REL {type: Sister Of}],(:Entity {name: Sanjna})
(:Entity {name: CHHAYA}),[:REL {type: Daughter Of}],(:Entity {name: Viswakarma})
(:Entity {name: CHHAYA}),[:REL {type: Mother Of}],(:Entity {name: Saturn})
(:Entity {name: CHHAYA}),[:REL {type: Called}],(:Entity {name: Divyaratna})
(:Entity {name: Sanjna}),[:REL {type: Wife of}],(:Entity {name: Surya})
(:Entity {name: Sanjna}),[:REL {type: Daughter of}],(:Entity {name: Viswakarma})
(:Entity {name: CHITRANGADA}),[:REL {type: Wife Of}],(:Entity {name: Arjuna})
(:Entity {name: CHITRANGADA}),[:REL {type: Brother Of}],(:Entity {name: Bhishma})
(:Entity {name: CHITRANGADA}),[:REL {type: Mother Of}],(:Entity {name: Babhruvahana})
(:Entity {name: CHITRANGADA}),[:REL {type: Son Of}],(:Entity {name: King})
(:Entity {name: CHITRANGADA}),[:REL {type: Daughter Of}],(:Entity {name: King})
(:Entity {name: CHITRANGADA}),[:REL {type: Named}],(:Entity {name: Vaidya-})
(:Entity {name: CHYAVANA}),[:REL {type: Father Of}],(:Entity {name: Aurva})
(:Entity {name: CHYAVANA}),[:REL {type: Descendant Of}],(:Entity {name: Manu})
(:Entity {name: CHYAVANA}),[:REL {type: Wife Of}],(:Entity {name: Bhrigu})
(:Entity {name: CHYAVANA}),[:REL {type: Daughter Of}],(:Entity {name: King})
(:Entity {name: CHYAVANA}),[:REL {type: Husband Of}],(:Entity {name: Arushi})
(:Entity {name: CHYAVANA}),[:REL {type: Father Of}],(:Entity {name: Harita})
(:Entity {name: CHYAVANA}),[:REL {type: Called}],(:Entity {name: Mada})
(:Entity {name: DADHYANCH}),[:REL {type: Son Of}],(:Entity {name: Atharvan})
(:Entity {name: DAITYAS}),[:REL {type: Called}],(:Entity {name: Kratudwishas})
(:Entity {name: DAKINI}),[:REL {type: Called}],(:Entity {name: Asrapas})
(:Entity {name: Prasuti}),[:REL {type: Daughter Of}],(:Entity {name: Priyavrata})
(:Entity {name: Priyavrata}),[:REL {type: Descendant Of}],(:Entity {name: Manu})
(:Entity {name: Sati}),[:REL {type: Daughter Of}],(:Entity {name: Daksha})
(:Entity {name: Sati}),[:REL {type: Killed Herself Because Of}],(:Entity {name: Daksha})
(:Entity {name: Sati}),[:REL {type: Married}],(:Entity {name: Siva})
(:Entity {name: Dama}),[:REL {type: Made Offerings With Blood Of}],(:Entity {name: Vapushmat})
(:Entity {name: Dama}),[:REL {type: Fed Brahmans With Flesh Of}],(:Entity {name: Vapushmat})
(:Entity {name: Dama}),[:REL {type: Grandson Of}],(:Entity {name: Marutta})
(:Entity {name: Virabhadra}),[:REL {type: Served}],(:Entity {name: Siva})
(:Entity {name: Saraswati}),[:REL {type: Attacked By}],(:Entity {name: Virabhadra})
(:Entity {name: Pushan}),[:REL {type: Attacked By}],(:Entity {name: Virabhadra})
(:Entity {name: Chandra}),[:REL {type: Attacked By}],(:Entity {name: Virabhadra})
(:Entity {name: DAKSHINACHARIS}),[:REL {type: Form Of}],(:Entity {name: Sakta})
(:Entity {name: DAMA}),[:REL {type: Father Of}],(:Entity {name: Sisupala})
(:Entity {name: DAMA}),[:REL {type: King Of}],(:Entity {name: Chedi})
(:Entity {name: DAMA}),[:REL {type: Named}],(:Entity {name: Vapushmat})
(:Entity {name: Sisupala}),[:REL {type: King Of}],(:Entity {name: Chedi})
(:Entity {name: Vapushmat}),[:REL {type: Killed By}],(:Entity {name: Dama})
(:Entity {name: Vapushmat}),[:REL {type: Killed}],(:Entity {name: King Marutta})
(:Entity {name: DAMAYANTI}),[:REL {type: Wife Of}],(:Entity {name: Nala})
(:Entity {name: Nala}),[:REL {type: Son of}],(:Entity {name: Viswa-karma})
(:Entity {name: Nala}),[:REL {type: Also Known As}],(:Entity {name: Vahuka})
(:Entity {name: DANDAKA}),[:REL {type: Son Of}],(:Entity {name: Vriddhasarma})
(:Entity {name: DARSANA}),[:REL {type: Called}],(:Entity {name: Patanjala})
(:Entity {name: DARSANA}),[:REL {type: Named}],(:Entity {name: Kanada})
(:Entity {name: DASANANA}),[:REL {type: Manifestation Of}],(:Entity {name: Vishnu})
(:Entity {name: DASANANA}),[:REL {type: Son Of}],(:Entity {name: Aja})
(:Entity {name: DASANANA}),[:REL {type: King Of}],(:Entity {name: Ayodhya})
(:Entity {name: DATTATREYA}),[:REL {type: Son Of}],(:Entity {name: Atri})
(:Entity {name: DEVAKA}),[:REL {type: Father Of}],(:Entity {name: Devaki})
(:Entity {name: DEVAKA}),[:REL {type: Brother Of}],(:Entity {name: Ugrasena})
(:Entity {name: DEVALA}),[:REL {type: Father Of}],(:Entity {name: Panini})
(:Entity {name: DEVI}),[:REL {type: Daughter Of}],(:Entity {name: Himavat})
(:Entity {name: DEVI}),[:REL {type: Called}],(:Entity {name: Adri-ja})
(:Entity {name: DHANWANTARL 1}),[:REL {type: Son Of}],(:Entity {name: Dirgha-})
(:Entity {name: DHARMARANYA}),[:REL {type: Son Of}],(:Entity {name: Yama})
(:Entity {name: DHARMARANYA}),[:REL {type: Son Of}],(:Entity {name: Kusa})
(:Entity {name: DHATAI}),[:REL {type: Son Of}],(:Entity {name: Brahma})
(:Entity {name: DHATAI}),[:REL {type: Epithet Of}],(:Entity {name: Vishnu})
(:Entity {name: DHAUMYA}),[:REL {type: Brother Of}],(:Entity {name: Devala})
(:Entity {name: Dhrishta-dyumna}),[:REL {type: Killed}],(:Entity {name: Drona})
(:Entity {name: Dhrishta-dyumna}),[:REL {type: Brother Of}],(:Entity {name: Draupadi})
(:Entity {name: Dhrishta-dyumna}),[:REL {type: Commander Of}],(:Entity {name: Pandava Armies})
(:Entity {name: Aswatthaman}),[:REL {type: Son Of}],(:Entity {name: Drona})
(:Entity {name: Aswatthaman}),[:REL {type: Killed}],(:Entity {name: Dhrishta-dyumna})
(:Entity {name: Aswatthaman}),[:REL {type: Killed}],(:Entity {name: Sons of Pandavas})
(:Entity {name: Gandhari}),[:REL {type: wife}],(:Entity {name: Dhritarashtra})
(:Entity {name: Gandhari}),[:REL {type: Wife Of}],(:Entity {name: Dhritarashtra})
(:Entity {name: Gandhari}),[:REL {type: Mother Of}],(:Entity {name: Duryodhana})
(:Entity {name: Gandhari}),[:REL {type: mother}],(:Entity {name: Duryodhana})
(:Entity {name: Gandhari}),[:REL {type: mother}],(:Entity {name: Kauravas})
(:Entity {name: Gandhari}),[:REL {type: mother}],(:Entity {name: Duhsala})
(:Entity {name: Gandhari}),[:REL {type: daughter}],(:Entity {name: Subala})
(:Entity {name: Gandhari}),[:REL {type: also known as}],(:Entity {name: Saubali})
(:Entity {name: Gandhari}),[:REL {type: also known as}],(:Entity {name: Saubaleyi})
(:Entity {name: Uttanapada}),[:REL {type: Son Of}],(:Entity {name: Manu})
(:Entity {name: Uttanapada}),[:REL {type: Husband Of}],(:Entity {name: Suruchi})
(:Entity {name: Uttanapada}),[:REL {type: Husband Of}],(:Entity {name: Suniti})
(:Entity {name: Uttanapada}),[:REL {type: Father Of}],(:Entity {name: Uttama})
(:Entity {name: Uttanapada}),[:REL {type: Father Of}],(:Entity {name: Dhruva})
(:Entity {name: Uttanapada}),[:REL {type: Father Of}],(:Entity {name: Vasu})
(:Entity {name: Uttanapada}),[:REL {type: Son Of}],(:Entity {name: Satarupa})
(:Entity {name: Uttanapada}),[:REL {type: Husband Of}],(:Entity {name: Sunrita})
(:Entity {name: Uttanapada}),[:REL {type: Father Of}],(:Entity {name: Kirtiman})
(:Entity {name: Uttanapada}),[:REL {type: Father Of}],(:Entity {name: Ayushman})
(:Entity {name: Suruchi}),[:REL {type: Mother Of}],(:Entity {name: Uttama})
(:Entity {name: Suruchi}),[:REL {type: Mistreated}],(:Entity {name: Dhruva})
(:Entity {name: Suniti}),[:REL {type: Mother Of}],(:Entity {name: Dhruva})
(:Entity {name: Dhruva}),[:REL {type: Devotee Of}],(:Entity {name: Vishnu})
(:Entity {name: Dhruva}),[:REL {type: Also Known As}],(:Entity {name: Auttanapadi})
(:Entity {name: Dhruva}),[:REL {type: Also Known As}],(:Entity {name: Grahadhara})
(:Entity {name: DHUNDHU}),[:REL {type: Killed By}],(:Entity {name: King})
(:Entity {name: DHUNDHU}),[:REL {type: Slayer Of}],(:Entity {name: Dhundhu})
(:Entity {name: DILIPA}),[:REL {type: Ancestor Of}],(:Entity {name: Rama})
(:Entity {name: DILIPA}),[:REL {type: Wife Of}],(:Entity {name: Bali})
(:Entity {name: DILIPA}),[:REL {type: Son Of}],(:Entity {name: Ansumat})
(:Entity {name: DILIPA}),[:REL {type: Son Of}],(:Entity {name: Dirgha-tamas})
(:Entity {name: DILIPA}),[:REL {type: Son Of}],(:Entity {name: Kasi-raja})
(:Entity {name: DILIPA}),[:REL {type: Father Of}],(:Entity {name: Bhagiratha})
(:Entity {name: DILIPA}),[:REL {type: Father Of}],(:Entity {name: Kakshivat})
(:Entity {name: Kakshivat}),[:REL {type: Son Of}],(:Entity {name: Dirghatamas})
(:Entity {name: Kakshivat}),[:REL {type: Affiliated By}],(:Entity {name: Kalinga Raja})
(:Entity {name: Bivo-dasa 1}),[:REL {type: Associated With}],(:Entity {name: Indra})
(:Entity {name: Bivo-dasa 2}),[:REL {type: Twin-Brother Of}],(:Entity {name: Ahalya})
(:Entity {name: Bivo-dasa 2}),[:REL {type: Oppressed By}],(:Entity {name: Sambara})
(:Entity {name: Bivo-dasa 2}),[:REL {type: Also Known As}],(:Entity {name: Atithi-gwa})
(:Entity {name: Sambara}),[:REL {type: kidnapped}],(:Entity {name: Pradyumna})
(:Entity {name: Sambara}),[:REL {type: enemy}],(:Entity {name: Pradyumna})
(:Entity {name: Bivo-dasa 3}),[:REL {type: Also Known As}],(:Entity {name: Dhanwantari})
(:Entity {name: Bivo-dasa 3}),[:REL {type: Son Of}],(:Entity {name: Bhima-ratha})
(:Entity {name: Bivo-dasa 3}),[:REL {type: Father Of}],(:Entity {name: Pratardana})
(:Entity {name: Pratardana}),[:REL {type: Son of}],(:Entity {name: Divodasa})
(:Entity {name: Prativindhya}),[:REL {type: Son Of}],(:Entity {name: Yudhishthira})
(:Entity {name: Srutasoma}),[:REL {type: Son Of}],(:Entity {name: Bhima})
(:Entity {name: Srutakirtti}),[:REL {type: Son Of}],(:Entity {name: Arjuna})
(:Entity {name: Srutakirtti}),[:REL {type: Cousin Of}],(:Entity {name: Sita})
(:Entity {name: Srutakirtti}),[:REL {type: Wife Of}],(:Entity {name: Satrughna})
(:Entity {name: Satanika}),[:REL {type: Son Of}],(:Entity {name: Nakula})
(:Entity {name: Srutakarman}),[:REL {type: Son Of}],(:Entity {name: Sahadeva})
(:Entity {name: Kripa}),[:REL {type: Half-Sister Of}],(:Entity {name: Bhishma})
(:Entity {name: Dhrishtadyumna}),[:REL {type: Killed}],(:Entity {name: Drona})
(:Entity {name: DRUHYU}),[:REL {type: Son Of}],(:Entity {name: Yayati})
(:Entity {name: Yajna-sena}),[:REL {type: Also known as}],(:Entity {name: Drupada})
(:Entity {name: Duhsala}),[:REL {type: Daughter Of}],(:Entity {name: Dhritarashtra})
(:Entity {name: Duhsala}),[:REL {type: Wife Of}],(:Entity {name: Jayadratha})
(:Entity {name: Nirukta}),[:REL {type: Field}],(:Entity {name: Etymology / Glossary})
(:Entity {name: Nirukta}),[:REL {type: Represented By}],(:Entity {name: Glossary of Yaska})
(:Entity {name: Kunti}),[:REL {type: Mother By}],(:Entity {name: Sun})
(:Entity {name: Kunti}),[:REL {type: received boon from}],(:Entity {name: Durvasas})
(:Entity {name: Asuras}),[:REL {type: captured}],(:Entity {name: Gritsa-mada})
(:Entity {name: Sakuni}),[:REL {type: Assisted}],(:Entity {name: Duryodhana})
(:Entity {name: Sakuni}),[:REL {type: Cheated}],(:Entity {name: Yudhishthira})
(:Entity {name: Suyodhana}),[:REL {type: Also Known As}],(:Entity {name: Duryodhana})
(:Entity {name: DUSHMANTA}),[:REL {type: Husband Of}],(:Entity {name: Sakuntala})
(:Entity {name: DWARAKA}),[:REL {type: Called}],(:Entity {name: Abdhi-nagari})
(:Entity {name: DWIVIDA}),[:REL {type: Ally Of}],(:Entity {name: Rama})
(:Entity {name: DYAUS}),[:REL {type: Father Of}],(:Entity {name: Ushas})
